# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202060667,0, Noise,0.010078,0.006767,0.000878,0.022374,0.537609,0.422293,0.000000,0.038062
202060670,0,OTHPER,0.000586,0.006598,0.015307,0.025662,0.010076,0.941350,0.000421,0.063830
202060672,0,  GDOR,0.001336,0.038296,0.021322,0.657758,0.006672,0.274616,0.000000,0.048951
202060680,0,    EB,0.003358,0.183995,0.405674,0.069860,0.034130,0.298434,0.004549,0.090909
202060684,0,OTHPER,0.027970,0.091430,0.149287,0.038688,0.016133,0.670363,0.006130,0.435407
202060688,0,OTHPER,0.000492,0.002879,0.000731,0.118502,0.184605,0.692790,0.000000,0.010101
202060702,0,    EA,0.209701,0.258464,0.215927,0.082205,0.161524,0.070362,0.001818,0.034483
202060704,0, Noise,0.002545,0.016829,0.002635,0.256163,0.429427,0.292401,0.000000,0.006711
202060706,0,OTHPER,0.007397,0.028924,0.002047,0.114663,0.399425,0.447202,0.000341,0.027397
202060707,0,OTHPER,0.006038,0.007230,0.025685,0.182866,0.017969,0.758785,0.001428,0.204819
202060710,0, Noise,0.002874,0.004215,0.000027,0.019183,0.684470,0.289231,0.000000,0.010101
202060712,0, DSCUT,0.748960,0.005601,0.009368,0.041642,0.077341,0.116924,0.000165,0.020408
202060722,0, Noise,0.024855,0.009444,0.010305,0.052890,0.518598,0.380659,0.003249,0.115242
202060730,0, Noise,0.085327,0.001073,0.000210,0.036051,0.460344,0.414400,0.002595,0.010101
202060732,0, Noise,0.000072,0.006670,0.000404,0.003717,0.684753,0.304384,0.000000,0.010101
202060735,0, Noise,0.000111,0.027018,0.000086,0.001041,0.670138,0.301606,0.000000,0.003344
202060743,0, Noise,0.000000,0.002391,0.000115,0.004588,0.624732,0.368174,0.000000,0.000000
202060752,0,    EB,0.000067,0.000707,0.985609,0.000281,0.000038,0.013057,0.000242,0.204819
202060764,0,  GDOR,0.015988,0.023905,0.029767,0.731020,0.037167,0.161620,0.000533,0.127820
202060766,0, Noise,0.000532,0.027635,0.001841,0.010824,0.536628,0.422541,0.000000,0.013514
202060767,0,OTHPER,0.009996,0.003413,0.039427,0.043281,0.015673,0.887718,0.000492,0.090909
202060768,0,OTHPER,0.007950,0.007027,0.014927,0.047442,0.082516,0.840005,0.000133,0.086957
202060779,0, Noise,0.003531,0.011546,0.000000,0.029031,0.699872,0.256019,0.000000,0.067616
202060791,0, Noise,0.000211,0.000553,0.000000,0.041184,0.508534,0.449518,0.000000,0.000000
202060792,0,  GDOR,0.007271,0.006972,0.013700,0.705979,0.021862,0.237137,0.007079,0.214575
202060795,0,OTHPER,0.020809,0.003641,0.032694,0.058207,0.045261,0.838316,0.001073,0.162791
202060800,0,    EA,0.002583,0.834608,0.059901,0.047581,0.029186,0.026141,0.000000,0.090909
202060806,0,  GDOR,0.004580,0.003680,0.005928,0.817613,0.014026,0.151828,0.002345,0.132075
202060813,0, Noise,0.000742,0.024323,0.001846,0.004852,0.839093,0.129144,0.000000,0.067616
202060818,0,OTHPER,0.004202,0.004007,0.005118,0.215910,0.070167,0.700339,0.000257,0.086957
202060824,0,OTHPER,0.000103,0.002564,0.000765,0.024677,0.442773,0.529119,0.000000,0.003344
202060831,0,  GDOR,0.037102,0.036046,0.011013,0.368739,0.290123,0.255812,0.001165,0.003344
202060833,0, Noise,0.003458,0.018209,0.000309,0.039257,0.486589,0.452178,0.000000,0.003344
202060835,0,OTHPER,0.003482,0.043797,0.009427,0.035509,0.377893,0.529893,0.000000,0.006711
202060839,0, Noise,0.007508,0.015589,0.000438,0.065221,0.529958,0.381286,0.000000,0.013514
202060840,0,OTHPER,0.000835,0.009218,0.001072,0.010613,0.431830,0.546431,0.000000,0.115242
202060849,0,OTHPER,0.002537,0.005209,0.002586,0.230232,0.038412,0.720617,0.000408,0.115242
202060863,0, Noise,0.000129,0.002497,0.000068,0.002734,0.723517,0.271056,0.000000,0.030928
202060876,0, Noise,0.001731,0.012473,0.004348,0.006277,0.543893,0.431211,0.000067,0.023891
202060877,0,OTHPER,0.004914,0.081043,0.084346,0.053258,0.020483,0.755162,0.000794,0.200000
202060888,0, Noise,0.004509,0.000542,0.000603,0.025251,0.530182,0.438913,0.000000,0.045296
202060891,0, Noise,0.005190,0.005407,0.003184,0.051573,0.505758,0.428821,0.000067,0.140684
202060892,0,OTHPER,0.013076,0.006672,0.035049,0.200751,0.029737,0.713636,0.001079,0.167315
202060907,0,OTHPER,0.011585,0.012913,0.032728,0.176416,0.006574,0.756812,0.002970,0.094891
202060909,0,  GDOR,0.009444,0.010761,0.021341,0.590532,0.060880,0.306326,0.000716,0.136364
202060911,0,    EA,0.003716,0.673658,0.120956,0.036898,0.081911,0.082752,0.000109,0.075269
202060919,0,OTHPER,0.000443,0.002694,0.015876,0.023960,0.007460,0.949565,0.000000,0.006711
202060920,0, Noise,0.003135,0.006278,0.000074,0.020008,0.682736,0.287769,0.000000,0.013514
202060921,0,    EA,0.000315,0.829421,0.017281,0.011479,0.035648,0.105857,0.000000,0.048951
202060928,0,OTHPER,0.006935,0.094821,0.023182,0.072720,0.304139,0.496058,0.002145,0.027397
202060932,0,  GDOR,0.000518,0.018911,0.008284,0.734890,0.012982,0.224243,0.000172,0.023891
202060937,0,OTHPER,0.002884,0.003041,0.011618,0.015030,0.058155,0.909138,0.000133,0.181102
202060943,0, Noise,0.005584,0.005343,0.000842,0.009285,0.521458,0.457487,0.000000,0.034483
202060946,0,OTHPER,0.001556,0.003597,0.000739,0.102672,0.407531,0.483498,0.000407,0.010101
202060981,0,OTHPER,0.001358,0.005193,0.000184,0.119904,0.427329,0.446031,0.000000,0.010101
202060986,0, Noise,0.006775,0.013580,0.004170,0.024380,0.637122,0.313973,0.000000,0.027397
202060995,0, Noise,0.053335,0.012106,0.022594,0.058869,0.518700,0.332685,0.001710,0.079137
202060999,0, Noise,0.004849,0.000971,0.000120,0.025972,0.645920,0.321982,0.000186,0.013514
202061000,0,    EA,0.000000,0.999357,0.000032,0.000000,0.000344,0.000267,0.000000,0.045296
202061001,0, Noise,0.004509,0.036865,0.006667,0.109081,0.482361,0.359284,0.001232,0.003344
